タイトル,価格,販売数
Vintage *NEAR MINT* LONGINES L150.4 7019 Gold 29mm Square Mens Quartz Watch JPN,189.9,1
[Exc+5] Longines Cal.L150.4 150 6960 32mm White Roman Dial Quartz Men's Watch,269.0,1
Reserved LONGINES L150.4 7050 White Dial Gold 31mm Quartz Men's Watch,169.0,1
Reserved LONGINES L729.2 4174 Gold 34mm Date Quartz Men's Watch Vintage,187.0,1
Reserved LONGINES 150 6732 29mm Gold Dial Quartz Men's Watch Authentic,168.0,1
Reserved LONGINES L150.4 7050 Gold Dial 31mm Quartz Men's Watch Authentic,168.0,1
Reserved Vintage LONGINES L150.2 6710 Gold 33mm Quartz Men's Watch From Japan,168.0,1
LONGINES Vintage Ladies Watch New Leather Band New battery Swiss Made 19473225,148.0,1
LONGINES Quartz Day-Date Watch Champagne Dial 33mm Working Stainless Steel,177.31,1
[Exc+5] Longines Flagship L150.4 150 3330 26mm Silver Dial Quartz Women's Watch,264.99,1
[ Near MINT ] Vintage LONGINES Conquest Gold Silver QZ Ladies Watch From JAPAN,159.9,1
New Batt *Box* Vintage Longines 156 7431 Gold Roman White Dial Quartz Mens Watch,169.99,1
[Near MINT] Longines presence 156 7231 33mm Gold Dial Date Quartz Men's Watch,234.0,1
Vintage N MINT 70's LONGINES Cal.6922 1095 Roman Dial 34mm Hand Manual Men Watch,449.99,1
Longines Men's Quartz Watch 1507019 Gold-Tone Vintage Square Swiss,180.99,1
[Exc+5 w/ BOX] LONGINES L847.4 847 5121 Hand Winding 30mm Gold Men's Swiss Watch,199.99,1
LONGINES CONQUEST Ti QUARTZ DATE MEN'S GRAY VINTAGE WATCH SWISS QUARTZ,140.0,1
[Near MINT] LONGINES Conquest 163 4022 Gold 35mm Vintage Quartz Men's Watch,289.9,1
[Near MINT] LONGINES Conquest L152.2 25mm White Dial Date Women Quartz Watch,179.99,1
[Near MINT] LONGINES L847.4 4427 33mm Roman White Dial Hand-Winding Men's Watch,199.9,1
Longines Automatic Watch Navy Dial Timepiece Authentic Excellent Rare,548.0,1
Vintage 1990s Longines La Grande Classique Cal.L847.4 Silver Dial [Near Mint],299.99,1
[Near MINT] Longines Cal. L206.2 206 4012 White Dial Date Quartz Women's Watch,249.9,1
Vintage [N MINT] Longines Conquest Ti V.H.P. 174 4026 Gold Men's Watch JAPAN,279.99,1
Full Set 1989 [ NEAR MINT ] LONGINES Square Gold Dial 150 7019 Qz Men's JAPAN,200.0,1
"Good condition LONGINES Longines hand-wound 847 4427  Men's,11568",261.0,1
[Exc+5] LONGINES L150.4 Dial Gold 32mm Round Men's Quartz Watch JAPAN,159.99,1
[Vintage] Longines White Dial 19mm Small Second Quartz Women's Watch From JAPAN,199.99,1
LONGINES Quartz Gold Mesh Band Men's Watch Excellent Condition,340.0,1
[Exc+5] Vintage Longines L.150.4 31ｍｍ Quartz Gold Dial Men's Watch From JAPAN,199.99,1
[Near MINT] LONGINES 140 7426 Gold Dial Cal.L140.6 Quartz Men's Watch From JAPAN,226.9,1
Vintage【EXC+5】Longines White Dial Hand Winding 25mm Woman's Watch,89.9,1
[Near MINT]  LONGINES Presence L150.4 7112 Gold Square 30mm Quartz Men's Watch,199.99,1
LONGINES 153 715 Women's Watch  Gold 20mm Vintage New Battery New Leather Band,168.0,1
Longines Vintage Quartz men's watch 18K Gold plated,630.0,1
[Near MINT] Longines L150.4 150 7019 30mm Gold Cushion Dial Quartz Men's Watch,199.99,1
LONGINES Vintage Ladies Watch 23mm New Gold SS Band New battery Ref.6032 Cal.717,150.0,1
[Exc+5] Original Longines Rodolphe Womens Watch Gold Tone From JAPAN,80.0,1
[N.MINT] LONGINES Conquest V.H.P 35mm Date Men Qz Vintage Watch -Ships from US,245.0,1
LONGINES 962 6549 Women's Watch  Gold 20mm Vintage New Battery New Leather Band,159.0,1
Longines Ultrachron Ref. 8353-1 Cal. 431,696.04,1
Near MINT Vintage Longines 962 6500 Gold Square Quartz Women's Watch From JAPAN,119.99,1
[N MINT] Vintage LONGINES 978 6343 Gold Tank 26mm Quartz Men's Watch From JAPAN,199.9,1
LONGINES Manual Wind Watch Silver Dial Elegant Design From Japan Used,317.0,1
[Near MINT] Longines L161.4 161 6980 31mm Gold Dial Date Quartz Men's Watch,220.0,1
Exc+5 Longines Conquest V.H.P. VHP Cal.L174.2 Titanium 33mm Gray Date Qz Men's,239.9,1
Longines Flagship Square Two Tone Quartz Working Battery Replaced Clean Dial,233.73,1
